#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-09-24T17:33:00 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ614e0aad5022e	
#INFO	-out.max=unlimited	
#INFO	queryParameters=13	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/468/663&tab:{J/A+A/468/663/table3}&key:source=J/A+A/468/663/table3&HTTPPRM:&
#-source=J/A+A/468/663/table3
#-order=I
#-out=Star
#-out=Line
#-out=Elem
#-out=lambda
#-out=EP(low)
#-out=loggf
#-out=EW
#-out=A(Fe)
#

#RESOURCE=yCat_34680663
#Name: J/A+A/468/663
#Title: Li abundances in solar-analog stars (Takeda+, 2007)
#Table	J_A_A_468_663_table3:
#Name: J/A+A/468/663/table3
#Title: EWs of Fe I/Fe II lines and resulting Fe abundances
#Column	Star	(A10)	Star name (Sun/Moon or HIP NNNNNN)	[ucd=meta.id;meta.main]
#Column	Line	(I4)	Line No. (cf. Takeda et al. 2005, Cat. <J/PASJ/57/27>)	[ucd=meta.id;spect.line]
#Column	Elem	(F5.2)	26.00 for Fe I, 26.01 for Fe II	[ucd=meta.note]
#Column	lambda	(F8.3)	Line wavelength	[ucd=em.wl;spect.line]
#Column	EP(low)	(F6.3)	Excitation potential of the lower level	[ucd=phys.atmol.excitation;phys.atmol.level]
#Column	loggf	(F6.3)	log(gf) value	[ucd=stat.value;arith.zp]
#Column	EW	(F5.1)	? Fe line equivalent width	[ucd=spect.line.eqWidth]
#Column	A(Fe)	(F5.2)	? Line-by-line Fe abundance	[ucd=phys.abund.Fe]
Star|Line|Elem|lambda|EP(low)|loggf|EW|A(Fe)
HIP  70319| 209|26.01|6516.080| 2.891|-3.302| 40.5| 7.13
HIP  70319|2005|26.01|5991.376| 3.153|-3.540| 22.0| 7.19
HIP  70319|2006|26.01|6084.111| 3.199|-3.791| 13.5| 7.19
HIP  70319|2007|26.01|6141.033| 3.230|-4.872|     |
HIP  70319|2008|26.01|6149.258| 3.889|-2.720| 25.2| 7.16
HIP  70319|2009|26.01|6239.953| 3.889|-3.423|     |
HIP  70319|2010|26.01|6247.557| 3.892|-2.336| 41.5| 7.18
HIP  70319|2011|26.01|6269.967| 3.245|-4.355|  4.8| 7.28
HIP  70319|2012|26.01|6446.410| 6.222|-1.938|     |
HIP  70319|2013|26.01|6456.383| 3.903|-2.142| 48.6| 7.15
HIP  72604| 109|26.00|5600.226| 4.260|-1.429| 35.6| 7.38
HIP  72604| 110|26.00|5661.348| 4.280|-1.790| 17.8| 7.29
HIP  72604| 111|26.00|5696.102| 4.550|-1.847|     |
HIP  72604| 112|26.00|5701.545| 2.560|-2.087| 87.8| 7.53
HIP  72604| 113|26.00|5705.466| 4.300|-1.433| 28.0| 7.24
HIP  72604| 114|26.00|5778.455| 2.590|-3.468| 25.9| 7.51
HIP  72604| 115|26.00|5784.657| 3.340|-2.615| 27.4| 7.45
HIP  72604| 116|26.00|5855.091| 4.607|-1.478| 19.4| 7.34
HIP  72604| 117|26.00|5909.970| 3.210|-2.579|     |
HIP  72604| 118|26.00|5956.692| 0.859|-4.537| 49.2| 7.33
HIP  72604| 119|26.00|6082.708| 2.223|-3.555| 31.5| 7.35
HIP  72604| 120|26.00|6120.244| 0.910|-5.906|     |
HIP  72604| 121|26.00|6136.993| 2.198|-2.910| 57.9| 7.26
HIP  72604| 122|26.00|6151.617| 2.176|-3.296| 42.9| 7.29
HIP  72604| 123|26.00|6173.341| 2.223|-2.888|     |
HIP  72604| 124|26.00|6180.203| 2.730|-2.615| 45.5| 7.23
HIP  72604| 125|26.00|6200.314| 2.609|-2.360| 66.4| 7.33
HIP  72604| 126|26.00|6219.279| 2.198|-2.458|     |
HIP  72604| 127|26.00|6232.639| 3.650|-1.197| 73.0| 7.30
HIP  72604| 128|26.00|6240.645| 2.220|-3.269| 43.9| 7.33
HIP  72604| 129|26.00|6265.131| 2.176|-2.578| 79.0| 7.35
HIP  72604| 130|26.00|6271.276| 3.330|-2.751| 24.2| 7.46
HIP  72604| 131|26.00|6280.616| 0.859|-4.363| 66.9| 7.53
HIP  72604| 132|26.00|6297.792| 2.223|-2.740| 73.0| 7.43
HIP  72604| 133|26.00|6311.500| 2.832|-3.141| 19.7| 7.23
HIP  72604| 134|26.00|6322.690| 2.588|-2.326| 71.9| 7.38
HIP  72604| 135|26.00|6353.835| 0.915|-6.477|     |
HIP  72604| 136|26.00|6481.869| 2.279|-2.933| 57.0| 7.31
HIP  72604| 137|26.00|6498.937| 0.958|-4.632|     |
HIP  72604| 138|26.00|6518.365| 2.830|-2.564| 47.5| 7.30
HIP  72604| 139|26.00|6574.225| 0.990|-4.980| 22.8| 7.26
HIP  72604| 140|26.00|6581.207| 1.480|-4.751| 17.0| 7.37
HIP  72604| 141|26.00|6593.871| 2.433|-2.359| 83.5| 7.47
HIP  72604| 142|26.00|6609.110| 2.559|-2.616| 59.3| 7.33
HIP  72604| 143|26.00|6625.021| 1.010|-5.307| 12.1| 7.25
HIP  72604| 144|26.00|6667.725| 4.580|-2.125|  8.7| 7.49
HIP  72604| 145|26.00|6699.162| 4.590|-2.081|  5.6| 7.25
HIP  72604| 146|26.00|6739.520| 1.557|-4.790| 14.1| 7.37
HIP  72604| 147|26.00|6750.150| 2.424|-2.570|     |
HIP  72604| 148|26.00|6752.705| 4.640|-1.186|     |
HIP  72604| 149|26.00|6793.252| 4.080|-2.366|     |
HIP  72604| 150|26.00|6804.001| 4.650|-1.522|     |
HIP  72604| 151|26.00|6804.275| 4.580|-1.776|     |
HIP  72604|1063|26.00|5522.447| 4.209|-1.373|     |
HIP  72604|1064|26.00|5546.500| 4.371|-1.018|     |
HIP  72604|1065|26.00|5549.948| 3.695|-2.762|     |
HIP  72604|1066|26.00|5552.691| 4.956|-1.704|     |
HIP  72604|1067|26.00|5559.638| 4.988|-1.614|     |
HIP  72604|1068|26.00|5568.072| 4.154|-2.889|     |
HIP  72604|1069|26.00|5568.867| 3.635|-2.817|     |
HIP  72604|1070|26.00|5577.031| 5.033|-1.446|     |
HIP  72604|1071|26.00|5587.573| 4.143|-1.593| 35.8| 7.43
HIP  72604|1072|26.00|5595.075| 5.064|-1.633|     |
HIP  72604|1073|26.00|5608.974| 4.209|-2.287|  8.7| 7.34
HIP  72604|1074|26.00|5618.631| 4.209|-1.233| 46.3| 7.38
HIP  72604|1075|26.00|5619.587| 4.386|-1.409| 32.5| 7.41
HIP  72604|1076|26.00|5636.696| 3.640|-2.495| 16.1| 7.31
HIP  72604|1077|26.00|5638.262| 4.220|-0.663| 66.8| 7.27
HIP  72604|1078|26.00|5650.020| 5.099|-0.749| 28.1| 7.31
HIP  72604|1079|26.00|5650.704| 5.085|-0.672| 27.9| 7.24
HIP  72604|1080|26.00|5651.470| 4.473|-1.747| 18.8| 7.47
HIP  72604|1081|26.00|5652.320| 4.260|-1.731| 23.5| 7.38
HIP  72604|1082|26.00|5653.889| 4.386|-1.334| 28.1| 7.22
HIP  72604|1083|26.00|5672.267| 4.584|-2.836|     |
HIP  72604|1084|26.00|5679.025| 4.652|-0.626| 56.4| 7.43
HIP  72604|1085|26.00|5680.241| 4.186|-2.306|     |
HIP  72604|1086|26.00|5731.762| 4.256|-1.050| 53.8| 7.40
HIP  72604|1087|26.00|5732.275| 4.991|-1.400| 11.2| 7.33
HIP  72604|1088|26.00|5752.023| 4.548|-0.846| 49.8| 7.40
HIP  72604|1089|26.00|5753.121| 4.260|-0.594| 67.8| 7.27
HIP  72604|1090|26.00|5760.345| 3.642|-2.438| 20.9| 7.40
HIP  72604|1091|26.00|5775.080| 4.220|-1.059| 53.9| 7.36
HIP  72604|1092|26.00|5793.913| 4.220|-1.578| 29.7| 7.34
HIP  72604|1093|26.00|5814.805| 4.283|-1.797| 20.9| 7.39
HIP  72604|1094|26.00|5827.875| 3.283|-3.165| 12.5| 7.48
HIP  72604|1095|26.00|5835.098| 4.256|-2.113| 10.9| 7.32
HIP  72604|1096|26.00|5837.700| 4.294|-2.255|  8.6| 7.38
HIP  72604|1097|26.00|5845.266| 5.033|-1.673|  7.9| 7.47
HIP  72604|1098|26.00|5849.682| 3.695|-2.885|  9.1| 7.45
HIP  72604|1099|26.00|5852.217| 4.548|-1.127| 35.3| 7.35
HIP  72604|1100|26.00|5853.149| 1.485|-5.089|  8.2| 7.38
HIP  72604|1101|26.00|5856.083| 4.294|-1.513| 28.7| 7.33
HIP  72604|1102|26.00|5858.779| 4.220|-2.156| 11.0| 7.33
HIP  72604|1103|26.00|5859.578| 4.548|-0.489| 65.4| 7.34
HIP  72604|1104|26.00|5861.107| 4.283|-2.327|  8.9| 7.45
HIP  72604|1105|26.00|5880.029| 4.558|-1.877| 10.7| 7.36
HIP  72604|1106|26.00|5881.279| 4.607|-1.741| 14.1| 7.42
HIP  72604|1107|26.00|5902.485| 4.593|-1.783| 16.3| 7.53
HIP  72604|1108|26.00|5905.689| 4.652|-0.650| 56.1| 7.45
HIP  72604|1109|26.00|5916.249| 2.453|-2.882|     |
HIP  72604|1110|26.00|5927.786| 4.652|-0.987|     |
HIP  72604|1111|26.00|5929.667| 4.548|-1.140|     |
HIP  72604|1112|26.00|5934.653| 3.929|-1.015| 71.2| 7.40
HIP  72604|1113|26.00|5969.559| 4.283|-2.732|     |
HIP  72604|1114|26.00|5976.157| 4.294|-3.155|     |
HIP  72604|1115|26.00|5984.814| 4.733|-0.129| 69.4| 7.24
HIP  72604|1116|26.00|5987.066| 4.795|-0.307| 56.4| 7.22
HIP  72604|1117|26.00|6003.010| 3.882|-0.903|     |
HIP  72604|1118|26.00|6027.050| 4.076|-1.065| 55.1| 7.28
HIP  72604|1119|26.00|6034.033| 4.312|-2.335|     |
HIP  72604|1120|26.00|6093.666| 4.607|-1.297| 26.9| 7.36
HIP  72604|1121|26.00|6094.364| 4.652|-1.557| 18.0| 7.41
HIP  72604|1122|26.00|6096.662| 3.984|-1.758| 31.9| 7.32
HIP  72604|1123|26.00|6105.152| 4.548|-1.916| 10.0| 7.35
HIP  72604|1124|26.00|6127.909| 4.143|-1.352| 43.3| 7.35
HIP  72604|1125|26.00|6165.361| 4.143|-1.434| 38.1| 7.31
HIP  72604|1126|26.00|6187.398| 2.832|-4.094|     |
HIP  72604|1127|26.00|6187.987| 3.943|-1.587| 46.3| 7.43
HIP  72604|1128|26.00|6199.507| 2.559|-4.283|     |
HIP  72604|1129|26.00|6213.429| 2.223|-2.562| 75.1| 7.31
HIP  72604|1130|26.00|6220.776| 3.882|-2.322| 15.4| 7.32
HIP  72604|1131|26.00|6221.670| 0.859|-6.441|     |
HIP  72604|1132|26.00|6226.730| 3.883|-2.055| 28.9| 7.44
HIP  72604|1133|26.00|6229.225| 2.845|-2.877| 35.2| 7.37
HIP  72604|1134|26.00|6302.494| 3.686|-1.163| 79.2| 7.42
HIP  72604|1135|26.00|6330.838| 4.733|-1.152| 29.1| 7.38
HIP  72604|1136|26.00|6335.328| 2.198|-2.349| 86.2| 7.28
HIP  72604|1137|26.00|6367.111| 4.795|-2.373|     |
HIP  72604|1138|26.00|6392.538| 2.279|-3.939| 14.5| 7.29
HIP  72604|1139|26.00|6436.411| 4.186|-2.337|  8.0| 7.29
HIP  72604|1140|26.00|6472.150| 4.371|-3.140|     |
HIP  72604|1141|26.00|6494.980| 2.404|-1.301|     |
HIP  72604|1142|26.00|6496.469| 4.795|-0.483| 57.1| 7.39
HIP  72604|1143|26.00|6591.325| 4.593|-1.957| 10.0| 7.41
HIP  72604|1144|26.00|6608.024| 2.279|-3.952| 12.4| 7.21
HIP  72604|1145|26.00|6627.540| 4.548|-1.452| 22.0| 7.29
HIP  72604|1146|26.00|6646.932| 2.608|-3.931| 10.5| 7.43
HIP  72604|1147|26.00|6667.417| 2.453|-4.315|  6.1| 7.39
HIP  72604|1148|26.00|6676.863| 4.558|-2.699|     |
HIP  72604|1149|26.00|6703.568| 2.759|-3.008| 34.2| 7.36
HIP  72604|1150|26.00|6710.316| 1.485|-4.813| 17.1| 7.43
HIP  72604|1151|26.00|6712.441| 4.988|-2.071|     |
HIP  72604|1152|26.00|6725.353| 4.103|-2.178| 16.0| 7.39
HIP  72604|1153|26.00|6726.661| 4.607|-1.003| 39.5| 7.31
HIP  72604|1154|26.00|6732.070| 4.584|-2.111|     |
HIP  72604|1155|26.00|6733.151| 4.638|-1.403| 22.7| 7.35
HIP  72604|1156|26.00|6745.090| 4.580|-2.065|     |
HIP  72604|1157|26.00|6745.955| 4.076|-2.632|     |
HIP  72604|1158|26.00|6746.953| 2.608|-4.337|     |
HIP  72604|1159|26.00|6783.264| 2.559|-4.550|     |
HIP  72604|1162|26.00|6806.847| 2.727|-3.098|     |
HIP  72604|1163|26.00|6810.257| 4.607|-0.927|     |
HIP  72604|1164|26.00|6824.825| 4.988|-2.125|     |
HIP  72604| 207|26.01|5525.125| 3.267|-4.007|     |
HIP  72604| 208|26.01|6432.680| 2.891|-3.579| 38.2| 7.36
HIP  72604| 209|26.01|6516.080| 2.891|-3.302| 47.4| 7.30
HIP  72604|2005|26.01|5991.376| 3.153|-3.540| 25.8| 7.28
HIP  72604|2006|26.01|6084.111| 3.199|-3.791| 18.5| 7.36
HIP  72604|2007|26.01|6141.033| 3.230|-4.872|     |
HIP  72604|2008|26.01|6149.258| 3.889|-2.720| 31.5| 7.32
HIP  72604|2009|26.01|6239.953| 3.889|-3.423|  9.9| 7.29
HIP  72604|2010|26.01|6247.557| 3.892|-2.336| 46.9| 7.32
HIP  72604|2011|26.01|6269.967| 3.245|-4.355|  8.4| 7.52
HIP  72604|2012|26.01|6446.410| 6.222|-1.938|     |
HIP  72604|2013|26.01|6456.383| 3.903|-2.142| 61.9| 7.46
HIP  75676| 109|26.00|5600.226| 4.260|-1.429| 36.2| 7.45
HIP  75676| 110|26.00|5661.348| 4.280|-1.790| 19.5| 7.41
HIP  75676| 111|26.00|5696.102| 4.550|-1.847| 13.9| 7.53
HIP  75676| 112|26.00|5701.545| 2.560|-2.087| 76.6| 7.36
HIP  75676| 113|26.00|5705.466| 4.300|-1.433| 31.9| 7.39
HIP  75676| 114|26.00|5778.455| 2.590|-3.468| 20.7| 7.47
HIP  75676| 115|26.00|5784.657| 3.340|-2.615| 22.1| 7.39
HIP  75676| 116|26.00|5855.091| 4.607|-1.478| 18.5| 7.37
HIP  75676| 117|26.00|5909.970| 3.210|-2.579| 34.5| 7.52
HIP  75676| 118|26.00|5956.692| 0.859|-4.537| 44.7| 7.36
HIP  75676| 119|26.00|6082.708| 2.223|-3.555| 30.1| 7.42
HIP  75676| 120|26.00|6120.244| 0.910|-5.906|  4.3| 7.42
HIP  75676| 121|26.00|6136.993| 2.198|-2.910| 61.3| 7.42
HIP  75676| 122|26.00|6151.617| 2.176|-3.296| 46.1| 7.45
HIP  75676| 123|26.00|6173.341| 2.223|-2.888| 64.7| 7.49
HIP  75676| 124|26.00|6180.203| 2.730|-2.615| 49.2| 7.39
HIP  75676| 125|26.00|6200.314| 2.609|-2.360| 65.8| 7.39
HIP  75676| 126|26.00|6219.279| 2.198|-2.458| 83.6| 7.44
HIP  75676| 127|26.00|6232.639| 3.650|-1.197| 76.8| 7.42
HIP  75676| 128|26.00|6240.645| 2.220|-3.269| 44.3| 7.43
HIP  75676| 129|26.00|6265.131| 2.176|-2.578| 82.2| 7.50
HIP  75676| 130|26.00|6271.276| 3.330|-2.751| 19.1| 7.40
HIP  75676| 131|26.00|6280.616| 0.859|-4.363|     |
HIP  75676| 132|26.00|6297.792| 2.223|-2.740| 68.3| 7.41
HIP  75676| 133|26.00|6311.500| 2.832|-3.141| 19.0| 7.30
HIP  75676| 134|26.00|6322.690| 2.588|-2.326| 69.0| 7.39
HIP  75676| 135|26.00|6353.835| 0.915|-6.477|     |
HIP  75676| 136|26.00|6481.869| 2.279|-2.933| 60.8| 7.48
HIP  75676| 137|26.00|6498.937| 0.958|-4.632| 39.8| 7.40
HIP  75676| 138|26.00|6518.365| 2.830|-2.564| 53.0| 7.49
HIP  75676| 139|26.00|6574.225| 0.990|-4.980| 25.2| 7.46
HIP  75676| 140|26.00|6581.207| 1.480|-4.751| 18.0| 7.52
HIP  75676| 141|26.00|6593.871| 2.433|-2.359| 79.2| 7.46
HIP  75676| 142|26.00|6609.110| 2.559|-2.616| 57.4| 7.37
HIP  75676| 143|26.00|6625.021| 1.010|-5.307| 12.2| 7.39
HIP  75676| 144|26.00|6667.725| 4.580|-2.125|  8.0| 7.51
HIP  75676| 145|26.00|6699.162| 4.590|-2.081|  8.0| 7.48
HIP  75676| 146|26.00|6739.520| 1.557|-4.790| 10.2| 7.33
HIP  75676| 147|26.00|6750.150| 2.424|-2.570| 70.4| 7.47
HIP  75676| 148|26.00|6752.705| 4.640|-1.186| 30.3| 7.38
HIP  75676| 149|26.00|6793.252| 4.080|-2.366|     |
HIP  75676| 150|26.00|6804.001| 4.650|-1.522|     |
HIP  75676| 151|26.00|6804.275| 4.580|-1.776|     |
HIP  75676|1063|26.00|5522.447| 4.209|-1.373|     |
HIP  75676|1064|26.00|5546.500| 4.371|-1.018| 44.3| 7.35
HIP  75676|1065|26.00|5549.948| 3.695|-2.762| 10.9| 7.51
HIP  75676|1066|26.00|5552.691| 4.956|-1.704|  8.4| 7.52
HIP  75676|1067|26.00|5559.638| 4.988|-1.614|  7.5| 7.41
HIP  75676|1068|26.00|5568.072| 4.154|-2.889|     |
HIP  75676|1069|26.00|5568.867| 3.635|-2.817|     |
HIP  75676|1070|26.00|5577.031| 5.033|-1.446|  9.8| 7.41
HIP  75676|1071|26.00|5587.573| 4.143|-1.593| 32.1| 7.40
HIP  75676|1072|26.00|5595.075| 5.064|-1.633|  6.3| 7.41
HIP  75676|1073|26.00|5608.974| 4.209|-2.287|  8.8| 7.41
HIP  75676|1074|26.00|5618.631| 4.209|-1.233| 43.8| 7.38
HIP  75676|1075|26.00|5619.587| 4.386|-1.409| 29.2| 7.39
HIP  75676|1076|26.00|5636.696| 3.640|-2.495| 14.2| 7.32
HIP  75676|1077|26.00|5638.262| 4.220|-0.663| 71.8| 7.41
HIP  75676|1078|26.00|5650.020| 5.099|-0.749| 29.7| 7.38
HIP  75676|1079|26.00|5650.704| 5.085|-0.672| 32.2| 7.39
HIP  75676|1080|26.00|5651.470| 4.473|-1.747| 15.2| 7.41
HIP  75676|1081|26.00|5652.320| 4.260|-1.731| 23.4| 7.44
HIP  75676|1082|26.00|5653.889| 4.386|-1.334| 31.8| 7.36
HIP  75676|1083|26.00|5672.267| 4.584|-2.836|     |
HIP  75676|1084|26.00|5679.025| 4.652|-0.626| 56.8| 7.48
HIP  75676|1085|26.00|5680.241| 4.186|-2.306| 11.5| 7.54
HIP  75676|1086|26.00|5731.762| 4.256|-1.050| 53.7| 7.44
HIP  75676|1087|26.00|5732.275| 4.991|-1.400| 10.9| 7.37
HIP  75676|1088|26.00|5752.023| 4.548|-0.846| 48.5| 7.41
HIP  75676|1089|26.00|5753.121| 4.260|-0.594| 71.6| 7.39
HIP  75676|1090|26.00|5760.345| 3.642|-2.438| 20.6| 7.47
HIP  75676|1091|26.00|5775.080| 4.220|-1.059| 55.7| 7.45
HIP  75676|1092|26.00|5793.913| 4.220|-1.578| 29.0| 7.38
HIP  75676|1093|26.00|5814.805| 4.283|-1.797| 20.6| 7.44
HIP  75676|1094|26.00|5827.875| 3.283|-3.165| 11.3| 7.51
HIP  75676|1095|26.00|5835.098| 4.256|-2.113| 14.0| 7.51
HIP  75676|1096|26.00|5837.700| 4.294|-2.255|  7.3| 7.36
HIP  75676|1097|26.00|5845.266| 5.033|-1.673|  7.5| 7.49
HIP  75676|1098|26.00|5849.682| 3.695|-2.885|  6.4| 7.35
HIP  75676|1099|26.00|5852.217| 4.548|-1.127|     |
HIP  75676|1100|26.00|5853.149| 1.485|-5.089|  8.0| 7.49
HIP  75676|1101|26.00|5856.083| 4.294|-1.513| 28.2| 7.38
HIP  75676|1102|26.00|5858.779| 4.220|-2.156|     |
HIP  75676|1103|26.00|5859.578| 4.548|-0.489| 65.4| 7.37
HIP  75676|1104|26.00|5861.107| 4.283|-2.327|     |
HIP  75676|1105|26.00|5880.029| 4.558|-1.877|  9.6| 7.37
HIP  75676|1106|26.00|5881.279| 4.607|-1.741| 16.0| 7.55
HIP  75676|1107|26.00|5902.485| 4.593|-1.783| 11.9| 7.42
HIP  75676|1108|26.00|5905.689| 4.652|-0.650| 51.8| 7.40
HIP  75676|1109|26.00|5916.249| 2.453|-2.882|     |
HIP  75676|1110|26.00|5927.786| 4.652|-0.987|     |
HIP  75676|1111|26.00|5929.667| 4.548|-1.140| 33.9| 7.38
HIP  75676|1112|26.00|5934.653| 3.929|-1.015| 70.0| 7.42
HIP  75676|1113|26.00|5969.559| 4.283|-2.732|     |
HIP  75676|1114|26.00|5976.157| 4.294|-3.155|     |
HIP  75676|1115|26.00|5984.814| 4.733|-0.129| 76.3| 7.40
HIP  75676|1116|26.00|5987.066| 4.795|-0.307| 64.9| 7.43
HIP  75676|1117|26.00|6003.010| 3.882|-0.903| 79.9| 7.45
HIP  75676|1118|26.00|6027.050| 4.076|-1.065| 58.9| 7.42
HIP  75676|1119|26.00|6034.033| 4.312|-2.335|  6.0| 7.36
HIP  75676|1120|26.00|6093.666| 4.607|-1.297| 28.3| 7.45
HIP  75676|1121|26.00|6094.364| 4.652|-1.557| 19.0| 7.50
HIP  75676|1122|26.00|6096.662| 3.984|-1.758| 32.1| 7.39
HIP  75676|1123|26.00|6105.152| 4.548|-1.916|  9.0| 7.36
HIP  75676|1124|26.00|6127.909| 4.143|-1.352| 43.9| 7.42
HIP  75676|1125|26.00|6165.361| 4.143|-1.434| 40.0| 7.41
HIP  75676|1126|26.00|6187.398| 2.832|-4.094|     |
HIP  75676|1127|26.00|6187.987| 3.943|-1.587| 43.8| 7.43
HIP  75676|1128|26.00|6199.507| 2.559|-4.283|     |
HIP  75676|1129|26.00|6213.429| 2.223|-2.562| 76.5| 7.42
HIP  75676|1130|26.00|6220.776| 3.882|-2.322| 17.1| 7.45
HIP  75676|1131|26.00|6221.670| 0.859|-6.441|     |
HIP  75676|1132|26.00|6226.730| 3.883|-2.055| 23.5| 7.37
HIP  75676|1133|26.00|6229.225| 2.845|-2.877| 32.3| 7.39
HIP  75676|1134|26.00|6302.494| 3.686|-1.163| 76.7| 7.41
HIP  75676|1135|26.00|6330.838| 4.733|-1.152| 30.0| 7.45
HIP  75676|1136|26.00|6335.328| 2.198|-2.349| 91.6| 7.46
HIP  75676|1137|26.00|6367.111| 4.795|-2.373|  2.6| 7.46
HIP  75676|1138|26.00|6392.538| 2.279|-3.939| 13.6| 7.36
HIP  75676|1139|26.00|6436.411| 4.186|-2.337|  7.4| 7.32
HIP  75676|1140|26.00|6472.150| 4.371|-3.140|     |
HIP  75676|1141|26.00|6494.980| 2.404|-1.301|     |
HIP  75676|1142|26.00|6496.469| 4.795|-0.483| 58.5| 7.46
HIP  75676|1143|26.00|6591.325| 4.593|-1.957|  7.8| 7.35
HIP  75676|1144|26.00|6608.024| 2.279|-3.952| 13.8| 7.37
HIP  75676|1145|26.00|6627.540| 4.548|-1.452| 25.0| 7.43
HIP  75676|1146|26.00|6646.932| 2.608|-3.931|  7.8| 7.39
HIP  75676|1147|26.00|6667.417| 2.453|-4.315|     |
HIP  75676|1148|26.00|6676.863| 4.558|-2.699|     |
HIP  75676|1149|26.00|6703.568| 2.759|-3.008| 33.2| 7.43
HIP  75676|1150|26.00|6710.316| 1.485|-4.813| 12.5| 7.38
HIP  75676|1151|26.00|6712.441| 4.988|-2.071|  3.7| 7.48
HIP  75676|1152|26.00|6725.353| 4.103|-2.178| 15.2| 7.43
HIP  75676|1153|26.00|6726.661| 4.607|-1.003| 40.6| 7.38
HIP  75676|1154|26.00|6732.070| 4.584|-2.111|  7.4| 7.46
HIP  75676|1155|26.00|6733.151| 4.638|-1.403| 23.8| 7.43
HIP  75676|1156|26.00|6745.090| 4.580|-2.065|  9.9| 7.55
HIP  75676|1157|26.00|6745.955| 4.076|-2.632|     |
HIP  75676|1158|26.00|6746.953| 2.608|-4.337|  4.7| 7.55
HIP  75676|1159|26.00|6783.264| 2.559|-4.550|     |
HIP  75676|1162|26.00|6806.847| 2.727|-3.098|     |
HIP  75676|1163|26.00|6810.257| 4.607|-0.927|     |
HIP  75676|1164|26.00|6824.825| 4.988|-2.125|     |
HIP  75676| 207|26.01|5525.125| 3.267|-4.007|     |
HIP  75676| 208|26.01|6432.680| 2.891|-3.579| 36.6| 7.38
HIP  75676| 209|26.01|6516.080| 2.891|-3.302| 53.8| 7.49
HIP  75676|2005|26.01|5991.376| 3.153|-3.540| 30.0| 7.45
HIP  75676|2006|26.01|6084.111| 3.199|-3.791| 18.8| 7.42
HIP  75676|2007|26.01|6141.033| 3.230|-4.872|     |
HIP  75676|2008|26.01|6149.258| 3.889|-2.720| 35.7| 7.47
HIP  75676|2009|26.01|6239.953| 3.889|-3.423|  9.4| 7.31
HIP  75676|2010|26.01|6247.557| 3.892|-2.336| 47.8| 7.37
HIP  75676|2011|26.01|6269.967| 3.245|-4.355|  6.0| 7.42
HIP  75676|2012|26.01|6446.410| 6.222|-1.938|  4.1| 7.51
HIP  75676|2013|26.01|6456.383| 3.903|-2.142| 59.7| 7.44
HIP  76114| 109|26.00|5600.226| 4.260|-1.429| 38.5| 7.45
HIP  76114| 110|26.00|5661.348| 4.280|-1.790| 24.2| 7.50
HIP  76114| 111|26.00|5696.102| 4.550|-1.847| 14.4| 7.51
HIP  76114| 112|26.00|5701.545| 2.560|-2.087| 87.7| 7.49
HIP  76114| 113|26.00|5705.466| 4.300|-1.433| 38.2| 7.48
HIP  76114| 114|26.00|5778.455| 2.590|-3.468| 22.6| 7.47
HIP  76114| 115|26.00|5784.657| 3.340|-2.615| 28.2| 7.49
HIP  76114| 116|26.00|5855.091| 4.607|-1.478| 20.9| 7.41
HIP  76114| 117|26.00|5909.970| 3.210|-2.579| 31.8| 7.40
HIP  76114| 118|26.00|5956.692| 0.859|-4.537| 55.5| 7.48
HIP  76114| 119|26.00|6082.708| 2.223|-3.555| 36.0| 7.48
HIP  76114| 120|26.00|6120.244| 0.910|-5.906|  6.6| 7.55
HIP  76114| 121|26.00|6136.993| 2.198|-2.910| 63.4| 7.37
HIP  76114| 122|26.00|6151.617| 2.176|-3.296| 54.9| 7.55
HIP  76114| 123|26.00|6173.341| 2.223|-2.888| 70.8| 7.52
HIP  76114| 124|26.00|6180.203| 2.730|-2.615| 58.5| 7.51
HIP  76114| 125|26.00|6200.314| 2.609|-2.360| 76.4| 7.51
HIP  76114| 126|26.00|6219.279| 2.198|-2.458| 91.4| 7.48
HIP  76114| 127|26.00|6232.639| 3.650|-1.197| 82.1| 7.44
HIP  76114| 128|26.00|6240.645| 2.220|-3.269| 49.4| 7.46
HIP  76114| 129|26.00|6265.131| 2.176|-2.578| 85.8| 7.45
HIP  76114| 130|26.00|6271.276| 3.330|-2.751| 22.8| 7.46
HIP  76114| 131|26.00|6280.616| 0.859|-4.363| 68.1| 7.54
HIP  76114| 132|26.00|6297.792| 2.223|-2.740| 75.1| 7.45
HIP  76114| 133|26.00|6311.500| 2.832|-3.141| 25.8| 7.43
HIP  76114| 134|26.00|6322.690| 2.588|-2.326| 77.7| 7.47
HIP  76114| 135|26.00|6353.835| 0.915|-6.477|     |
HIP  76114| 136|26.00|6481.869| 2.279|-2.933| 62.6| 7.42
HIP  76114| 137|26.00|6498.937| 0.958|-4.632| 52.5| 7.57
HIP  76114| 138|26.00|6518.365| 2.830|-2.564| 61.5| 7.59
